Participant(s)	Technology	Multi_Details	Submission_Name	Type	challenge_cat	FP.al	FP.gt	METRIC.F1_Score	METRIC.Precision	METRIC.Recall	QUERY.FP	QUERY.TP	TRUTH.FN	TRUTH.TP
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission	INDEL	All Benchmark Regions	298	827	0.997514	0.997390498	0.997636999	1383	528737	1201	506928
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission	INDEL	Difficult-to-Map Regions	24	85	0.988107652	0.988984115	0.987232687	183	16523	210	16279
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission	INDEL	MHC	12	10	0.984985008	0.9873077	0.982683803	24	1870	28	1663
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission	SNP	All Benchmark Regions	246	749	0.999205999	0.999192999	0.9992195	2694	3341715	2608	3340912
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission	SNP	Difficult-to-Map Regions	142	630	0.991676849	0.99226591	0.99108827	2015	258972	2322	258978
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission	SNP	MHC	9	20	0.995787193	0.998094932	0.993492643	37	19839	112	20022
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission	SNVandINDEL	All Benchmark Regions	544	1577	0.998978575	0.99894639	0.999010763	4078	3870455	3810	3847842
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission	SNVandINDEL	Difficult-to-Map Regions	166	715	0.991463577	0.992068336	0.990859569	2199	275495	2532	275258
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission	SNVandINDEL	MHC	22	31	0.99489905	0.997156432	0.992654648	62	21708	140	21685
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission Model2	INDEL	All Benchmark Regions	270	793	0.997556	0.997530496	0.9975815	1308	528708	1229	506900
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission Model2	INDEL	Difficult-to-Map Regions	23	81	0.987345469	0.989377235	0.985322158	176	16491	242	16248
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission Model2	INDEL	MHC	11	12	0.984505338	0.987254662	0.981779671	24	1862	30	1661
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission Model2	SNP	All Benchmark Regions	233	720	0.999065	0.999213999	0.9989155	2623	3340703	3625	3339896
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission Model2	SNP	Difficult-to-Map Regions	120	606	0.990097852	0.992762394	0.987447803	1877	258020	3276	258027
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission Model2	SNP	MHC	8	19	0.994153937	0.998236975	0.990108342	35	19774	180	19954
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission Model2	SNVandINDEL	All Benchmark Regions	504	1514	0.998861728	0.998983748	0.998739739	3931	3869413	4854	3846798
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission Model2	SNVandINDEL	Difficult-to-Map Regions	144	687	0.989932859	0.992557954	0.987321618	2053	274512	3518	274275
Sentieon	MULTI	ILLUMINAPACBIO	Combination of Illumina and PacBio HIFI submission Model2	SNVandINDEL	MHC	20	31	0.99335526	0.997282463	0.989463243	59	21637	210	21615
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission"	INDEL	All Benchmark Regions	294	821	0.997536	0.997407999	0.997663	1373	528555	1187	506942
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission"	INDEL	Difficult-to-Map Regions	23	85	0.988102178	0.989003144	0.987202211	183	16507	211	16279
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission"	INDEL	MHC	8	4	0.991062807	0.991505143	0.990622453	14	1687	15	1676
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission"	SNP	All Benchmark Regions	250	742	0.999222499	0.999194999	0.999249999	2688	3342088	2506	3341012
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission"	SNP	Difficult-to-Map Regions	142	630	0.991685351	0.992277905	0.991094785	2012	258993	2321	258980
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission"	SNP	MHC	11	13	0.998441789	0.998453881	0.998429171	30	20211	27	20122
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission"	SNVandINDEL	All Benchmark Regions	544	1563	0.998995435	0.998950574	0.9990403	4062	3870646	3695	3847956
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission"	SNVandINDEL	Difficult-to-Map Regions	165	716	0.99147176	0.992080897	0.99086338	2195	275500	2531	275259
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission"	SNVandINDEL	MHC	21	17	0.997869585	0.99791522	0.997824008	44	21898	42	21798
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission Model2"	INDEL	All Benchmark Regions	268	786	0.9975795	0.997547997	0.997611	1299	528533	1214	506915
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission Model2"	INDEL	Difficult-to-Map Regions	21	82	0.98737003	0.989456346	0.985292183	175	16475	242	16247
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission Model2"	INDEL	MHC	8	4	0.991062807	0.991505143	0.990622453	14	1687	15	1676
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission Model2"	SNP	All Benchmark Regions	238	714	0.999090499	0.999215499	0.998966499	2619	3341141	3454	3340065
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission Model2"	SNP	Difficult-to-Map Regions	120	606	0.990111855	0.992768391	0.987469314	1876	258045	3271	258032
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission Model2"	SNP	MHC	11	13	0.998441789	0.998453881	0.998429171	30	20211	27	20122
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission Model2"	SNVandINDEL	All Benchmark Regions	506	1500	0.998887296	0.998987179	0.998787433	3918	3869676	4669	3846982
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission Model2"	SNVandINDEL	Difficult-to-Map Regions	142	688	0.98994747	0.992568961	0.987339793	2050	274520	3513	274280
Sentieon	MULTI	ILLUMINAPACBIOONT	"Combination of Illumina, PacBio HIFI, and Oxford Nanopore submission Model2"	SNVandINDEL	MHC	21	17	0.997869585	0.99791522	0.997824008	44	21898	42	21798
Sentieon	ILLUMINA	NA	Illumina short-read-data-only submission	INDEL	All Benchmark Regions	195	1071	0.995750998	0.996969	0.99453549	1602	526973	2776	505353
Sentieon	ILLUMINA	NA	Illumina short-read-data-only submission	INDEL	Difficult-to-Map Regions	35	126	0.945674879	0.976463325	0.916769509	370	15351	1372	15117
Sentieon	ILLUMINA	NA	Illumina short-read-data-only submission	INDEL	MHC	12	7	0.982261092	0.987477407	0.977116071	23	1854	36	1653
Sentieon	ILLUMINA	NA	Illumina short-read-data-only submission	SNP	All Benchmark Regions	579	1525	0.995924998	0.998283999	0.993575985	5708	3322859	21469	3322044
Sentieon	ILLUMINA	NA	Illumina short-read-data-only submission	SNP	Difficult-to-Map Regions	445	1385	0.949949265	0.980527959	0.921220767	4780	240721	20582	240721
Sentieon	ILLUMINA	NA	Illumina short-read-data-only submission	SNP	MHC	28	63	0.986758986	0.994418061	0.979220732	108	19561	415	19735
Sentieon	ILLUMINA	NA	Illumina short-read-data-only submission	SNVandINDEL	All Benchmark Regions	774	2596	0.995898712	0.998104134	0.993703027	7310	3849834	24245	3827399
Sentieon	ILLUMINA	NA	Illumina short-read-data-only submission	SNVandINDEL	Difficult-to-Map Regions	481	1512	0.949693644	0.980283105	0.920956381	5150	256073	21954	255839
Sentieon	ILLUMINA	NA	Illumina short-read-data-only submission	SNVandINDEL	MHC	40	71	0.986377851	0.993813363	0.979057127	132	21415	452	21388
Sentieon	PACBIO	NA	PacBio HIFI only submission	INDEL	All Benchmark Regions	1565	4721	0.98063347	0.984819499	0.976482407	7963	516576	11948	496179
Sentieon	PACBIO	NA	PacBio HIFI only submission	INDEL	Difficult-to-Map Regions	22	47	0.989120888	0.992120946	0.986139827	130	16503	228	16261
Sentieon	PACBIO	NA	PacBio HIFI only submission	INDEL	MHC	12	10	0.984985008	0.9873077	0.982683803	24	1870	28	1663
Sentieon	PACBIO	NA	PacBio HIFI only submission	SNP	All Benchmark Regions	257	580	0.999214	0.999300999	0.999127	2332	3341349	2919	3340602
Sentieon	PACBIO	NA	PacBio HIFI only submission	SNP	Difficult-to-Map Regions	113	335	0.993155333	0.994608907	0.991705739	1400	259132	2159	259139
Sentieon	PACBIO	NA	PacBio HIFI only submission	SNP	MHC	9	20	0.995787193	0.998094932	0.993492643	37	19839	112	20022
Sentieon	PACBIO	NA	PacBio HIFI only submission	SNVandINDEL	All Benchmark Regions	1822	5302	0.996738037	0.997337324	0.996139473	10299	3857927	14867	3836783
Sentieon	PACBIO	NA	PacBio HIFI only submission	SNVandINDEL	Difficult-to-Map Regions	136	383	0.992915047	0.994459435	0.991375469	1530	275636	2387	275401
Sentieon	PACBIO	NA	PacBio HIFI only submission	SNVandINDEL	MHC	22	31	0.99489905	0.997156432	0.992654648	62	21708	140	21685
Sentieon	PACBIO	NA	PacBio HIFI only submission Model2	INDEL	All Benchmark Regions	1551	4686	0.980702477	0.984964999	0.976477426	7885	516568	11951	496177
Sentieon	PACBIO	NA	PacBio HIFI only submission Model2	INDEL	Difficult-to-Map Regions	19	42	0.988636278	0.993330414	0.98398663	109	16468	263	16226
Sentieon	PACBIO	NA	PacBio HIFI only submission Model2	INDEL	MHC	11	12	0.984505338	0.987254662	0.981779671	24	1862	30	1661
Sentieon	PACBIO	NA	PacBio HIFI only submission Model2	SNP	All Benchmark Regions	215	538	0.9990445	0.999406499	0.9986815	1979	3339864	4408	3339113
Sentieon	PACBIO	NA	PacBio HIFI only submission Model2	SNP	Difficult-to-Map Regions	72	304	0.990983872	0.995779447	0.986234268	1089	257703	3593	257710
Sentieon	PACBIO	NA	PacBio HIFI only submission Model2	SNP	MHC	8	19	0.994153937	0.998236975	0.990108342	35	19774	180	19954
Sentieon	PACBIO	NA	PacBio HIFI only submission Model2	SNVandINDEL	All Benchmark Regions	1766	5224	0.996599286	0.997447766	0.995752251	9867	3856434	16359	3835292
Sentieon	PACBIO	NA	PacBio HIFI only submission Model2	SNVandINDEL	Difficult-to-Map Regions	92	347	0.990843161	0.995631616	0.986100575	1199	274171	3856	273936
Sentieon	PACBIO	NA	PacBio HIFI only submission Model2	SNVandINDEL	MHC	20	31	0.99335526	0.997282463	0.989463243	59	21637	210	21615
ISKOS	ILLUMINA	NA	ISKOS	INDEL	All Benchmark Regions	203	1189	0.950943442	0.994947998	0.91066683	2405	473599	45392	462736
ISKOS	ILLUMINA	NA	ISKOS	INDEL	Difficult-to-Map Regions	79	150	0.879938336	0.934017674	0.831779012	976	13822	2774	13716
ISKOS	ILLUMINA	NA	ISKOS	INDEL	MHC	51	13	0.890381177	0.923707299	0.859381995	122	1485	238	1454
ISKOS	ILLUMINA	NA	ISKOS	SNP	All Benchmark Regions	1568	2252	0.991084495	0.995171	0.987030486	16012	3300118	43360	3300158
ISKOS	ILLUMINA	NA	ISKOS	SNP	Difficult-to-Map Regions	835	1536	0.903855042	0.95183676	0.860479048	11376	224847	36454	224849
ISKOS	ILLUMINA	NA	ISKOS	SNP	MHC	576	119	0.946154321	0.936990048	0.955499513	1292	19228	894	19257
ISKOS	ILLUMINA	NA	ISKOS	SNVandINDEL	All Benchmark Regions	1772	3443	0.985965864	0.995143261	0.976956203	18417	3773718	88752	3762896
ISKOS	ILLUMINA	NA	ISKOS	SNVandINDEL	Difficult-to-Map Regions	915	1687	0.902441249	0.950786279	0.858775146	12352	238670	39228	238565
ISKOS	ILLUMINA	NA	ISKOS	SNVandINDEL	MHC	628	132	0.94200137	0.936025035	0.948054511	1414	20713	1133	20711
The UCSC CGL and Google Health	PACBIO	NA	Margin-PEPPER-DeepVariant (PacBIO)	INDEL	All Benchmark Regions	1430	4670	0.983675948	0.986673467	0.980695926	6990	517650	9807	498320
The UCSC CGL and Google Health	PACBIO	NA	Margin-PEPPER-DeepVariant (PacBIO)	INDEL	Difficult-to-Map Regions	20	42	0.972309059	0.97878535	0.965920189	345	16058	562	15928
The UCSC CGL and Google Health	PACBIO	NA	Margin-PEPPER-DeepVariant (PacBIO)	INDEL	MHC	15	12	0.973224419	0.980500844	0.966069773	32	1718	57	1635
The UCSC CGL and Google Health	PACBIO	NA	Margin-PEPPER-DeepVariant (PacBIO)	SNP	All Benchmark Regions	692	347	0.997543493	0.998542951	0.996546498	4751	3334762	11544	3331974
The UCSC CGL and Google Health	PACBIO	NA	Margin-PEPPER-DeepVariant (PacBIO)	SNP	Difficult-to-Map Regions	282	147	0.974845682	0.985782786	0.964158539	3429	252138	9359	251941
The UCSC CGL and Google Health	PACBIO	NA	Margin-PEPPER-DeepVariant (PacBIO)	SNP	MHC	49	18	0.989277716	0.992735282	0.985844142	145	19850	285	19868
The UCSC CGL and Google Health	PACBIO	NA	Margin-PEPPER-DeepVariant (PacBIO)	SNVandINDEL	All Benchmark Regions	2125	5018	0.995691856	0.996931559	0.994455257	11796	3852413	21356	3830296
The UCSC CGL and Google Health	PACBIO	NA	Margin-PEPPER-DeepVariant (PacBIO)	SNVandINDEL	Difficult-to-Map Regions	303	189	0.974691714	0.98535549	0.96426374	3812	268196	9921	267870
The UCSC CGL and Google Health	PACBIO	NA	Margin-PEPPER-DeepVariant (PacBIO)	SNVandINDEL	MHC	64	32	0.988015541	0.991747295	0.984311819	178	21568	342	21503
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT_9to6)	INDEL	All Benchmark Regions	20512	19296	0.728498349	0.863327264	0.630098709	52012	328621	187924	320172
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT_9to6)	INDEL	Difficult-to-Map Regions	215	215	0.892170901	0.954081668	0.837807935	670	13932	2673	13815
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT_9to6)	INDEL	MHC	60	30	0.863966531	0.936336012	0.802003104	95	1404	334	1357
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT_9to6)	SNP	All Benchmark Regions	4440	1481	0.996450455	0.99731847	0.995583936	8915	3329291	14716	3328757
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT_9to6)	SNP	Difficult-to-Map Regions	241	482	0.987859057	0.990451873	0.985280708	2466	257540	3841	257460
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT_9to6)	SNP	MHC	30	17	0.973493351	0.997345958	0.950793749	51	19145	957	19162
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT_9to6)	SNVandINDEL	All Benchmark Regions	24952	20778	0.965146708	0.98360495	0.947368549	60971	3657918	202706	3648934
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT_9to6)	SNVandINDEL	Difficult-to-Map Regions	456	697	0.98248787	0.98851945	0.976529507	3141	271473	6519	271277
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT_9to6)	SNVandINDEL	MHC	90	47	0.965333896	0.992928155	0.939269308	145	20550	1295	20519
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT)	INDEL	All Benchmark Regions	22479	20981	0.725414114	0.855058796	0.629912498	55717	328735	188017	320077
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT)	INDEL	Difficult-to-Map Regions	225	233	0.891077881	0.95217231	0.837352933	699	13927	2681	13808
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT)	INDEL	MHC	63	32	0.861912261	0.933143698	0.80080522	100	1402	336	1355
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT)	SNP	All Benchmark Regions	4535	1616	0.996415454	0.997249969	0.995582437	9143	3329275	14722	3328751
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT)	SNP	Difficult-to-Map Regions	249	486	0.987837545	0.990405864	0.985282195	2477	257540	3840	257461
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT)	SNP	MHC	33	17	0.973352813	0.997188491	0.950668406	54	19142	961	19159
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT)	SNVandINDEL	All Benchmark Regions	27015	22598	0.964633487	0.982567488	0.947342519	64899	3658016	202806	3648834
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT)	SNVandINDEL	Difficult-to-Map Regions	474	719	0.982402083	0.988371694	0.976504203	3182	271468	6525	271270
The UCSC CGL and Google Health	ONT	NA	PEPPER-DeepVariant (ONT)	SNVandINDEL	MHC	96	50	0.965040359	0.992539978	0.939061037	154	20544	1301	20514
The UCSC CGL and Google Health	PACBIO	NA	PEPPER-DeepVariant (PacBIO)	INDEL	All Benchmark Regions	1445	4915	0.984640988	0.98644899	0.982839486	7124	518618	8719	499409
The UCSC CGL and Google Health	PACBIO	NA	PEPPER-DeepVariant (PacBIO)	INDEL	Difficult-to-Map Regions	25	50	0.984531931	0.985259979	0.983806249	240	16350	267	16223
The UCSC CGL and Google Health	PACBIO	NA	PEPPER-DeepVariant (PacBIO)	INDEL	MHC	9	11	0.977391731	0.986807015	0.968158553	23	1724	54	1638
The UCSC CGL and Google Health	PACBIO	NA	PEPPER-DeepVariant (PacBIO)	SNP	All Benchmark Regions	542	630	0.9986225	0.999154497	0.998090997	2815	3339914	6377	3337139
The UCSC CGL and Google Health	PACBIO	NA	PEPPER-DeepVariant (PacBIO)	SNP	Difficult-to-Map Regions	147	404	0.990104987	0.993186812	0.98704307	1763	258121	3377	257921
The UCSC CGL and Google Health	PACBIO	NA	PEPPER-DeepVariant (PacBIO)	SNP	MHC	18	16	0.992795917	0.997800698	0.987841551	41	19888	243	19909
The UCSC CGL and Google Health	PACBIO	NA	PEPPER-DeepVariant (PacBIO)	SNVandINDEL	All Benchmark Regions	1987	5546	0.996752932	0.997427684	0.996079097	9945	3858535	15101	3836550
The UCSC CGL and Google Health	PACBIO	NA	PEPPER-DeepVariant (PacBIO)	SNVandINDEL	Difficult-to-Map Regions	173	454	0.989771314	0.992709441	0.986850961	2013	274471	3644	274144
The UCSC CGL and Google Health	PACBIO	NA	PEPPER-DeepVariant (PacBIO)	SNVandINDEL	MHC	28	28	0.991587312	0.996914895	0.98631638	64	21612	298	21547
The UCSC CGL and Google Health	MULTI	PACBIOONT	PEPPER-DeepVariant (PacBIO+ONT)	INDEL	All Benchmark Regions	1442	4855	0.984820961	0.986617465	0.983030957	7035	518784	8621	499507
The UCSC CGL and Google Health	MULTI	PACBIOONT	PEPPER-DeepVariant (PacBIO+ONT)	INDEL	Difficult-to-Map Regions	25	51	0.984065833	0.986426767	0.981715999	224	16319	301	16188
The UCSC CGL and Google Health	MULTI	PACBIOONT	PEPPER-DeepVariant (PacBIO+ONT)	INDEL	MHC	10	9	0.977048544	0.988252918	0.966095813	20	1719	57	1635
The UCSC CGL and Google Health	MULTI	PACBIOONT	PEPPER-DeepVariant (PacBIO+ONT)	SNP	All Benchmark Regions	512	619	0.998709	0.999195998	0.998222999	2682	3340344	5940	3337579
The UCSC CGL and Google Health	MULTI	PACBIOONT	PEPPER-DeepVariant (PacBIO+ONT)	SNP	Difficult-to-Map Regions	92	399	0.99071831	0.995860951	0.98562958	1068	257746	3748	257551
The UCSC CGL and Google Health	MULTI	PACBIOONT	PEPPER-DeepVariant (PacBIO+ONT)	SNP	MHC	12	15	0.992231434	0.998156413	0.986375952	36	19858	274	19879
The UCSC CGL and Google Health	MULTI	PACBIOONT	PEPPER-DeepVariant (PacBIO+ONT)	SNVandINDEL	All Benchmark Regions	1955	5477	0.996852048	0.997486333	0.996218571	9719	3859130	14565	3837088
The UCSC CGL and Google Health	MULTI	PACBIOONT	PEPPER-DeepVariant (PacBIO+ONT)	SNVandINDEL	Difficult-to-Map Regions	117	450	0.990320722	0.99529368	0.985397272	1292	274066	4050	273740
The UCSC CGL and Google Health	MULTI	PACBIOONT	PEPPER-DeepVariant (PacBIO+ONT)	SNVandINDEL	MHC	22	25	0.991043003	0.997360688	0.98480486	57	21577	332	21514
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABD	INDEL	All Benchmark Regions	242	2657	0.989529458	0.99381999	0.985275406	3245	521948	7479	500647
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABD	INDEL	Difficult-to-Map Regions	45	133	0.934372317	0.970869497	0.900520419	452	15064	1640	14850
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABD	INDEL	MHC	7	13	0.952550294	0.986410928	0.921100409	22	1633	126	1558
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABD	SNP	All Benchmark Regions	611	2908	0.994468485	0.997403	0.991551433	8636	3316873	28222	3315273
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABD	SNP	Difficult-to-Map Regions	459	1935	0.938703428	0.971696997	0.907877563	6912	237293	24067	237234
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABD	SNP	MHC	36	116	0.948314348	0.990286775	0.909974183	179	18313	1704	18339
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABD	SNVandINDEL	All Benchmark Regions	854	5567	0.993809021	0.996914085	0.990723276	11883	3838823	35701	3815922
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABD	SNVandINDEL	Difficult-to-Map Regions	505	2068	0.938446659	0.97164778	0.907440348	7364	252358	25707	252085
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABD	SNVandINDEL	MHC	43	130	0.948640045	0.989968569	0.910838069	202	19947	1830	19898
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABMD	INDEL	All Benchmark Regions	247	2478	0.990009968	0.994093495	0.985959419	3103	522342	7132	500995
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABMD	INDEL	Difficult-to-Map Regions	45	142	0.933532255	0.968604304	0.900911964	488	15070	1634	14856
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABMD	INDEL	MHC	9	12	0.953298033	0.984969863	0.92376199	25	1638	122	1563
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABMD	SNP	All Benchmark Regions	640	3690	0.994286492	0.996966998	0.991620947	10090	3317103	27995	3315506
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABMD	SNP	Difficult-to-Map Regions	482	2025	0.938093648	0.969178484	0.908941446	7555	237569	23790	237512
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABMD	SNP	MHC	36	119	0.949102249	0.989859998	0.911776328	188	18350	1677	18376
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABMD	SNVandINDEL	All Benchmark Regions	887	6170	0.993716196	0.99657481	0.99087397	13195	3839448	35126	3816502
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABMD	SNVandINDEL	Difficult-to-Map Regions	528	2167	0.93782379	0.969144474	0.908465025	8043	252640	25423	252369
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina ABMD	SNVandINDEL	MHC	45	132	0.949422905	0.989457413	0.912706153	213	19988	1798	19939
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBDBM	INDEL	All Benchmark Regions	257	2462	0.990426479	0.994107999	0.986771433	3099	522810	6719	501403
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBDBM	INDEL	Difficult-to-Map Regions	46	145	0.933172669	0.968426402	0.900395844	491	15059	1642	14847
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBDBM	INDEL	MHC	7	12	0.953359338	0.986126866	0.922873383	23	1634	123	1561
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBDBM	SNP	All Benchmark Regions	625	3690	0.994277991	0.996961498	0.991608947	10107	3317059	28035	3315458
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBDBM	SNP	Difficult-to-Map Regions	476	2027	0.937983687	0.96909948	0.908805069	7574	237537	23826	237477
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBDBM	SNP	MHC	38	122	0.948790161	0.98956499	0.911452595	193	18346	1683	18369
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBDBM	SNVandINDEL	All Benchmark Regions	883	6153	0.993763442	0.996572069	0.990970637	13207	3839872	34754	3816862
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBDBM	SNVandINDEL	Difficult-to-Map Regions	522	2173	0.937699122	0.969059202	0.908305922	8065	252597	25468	252325
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBDBM	SNVandINDEL	MHC	46	134	0.949141966	0.989282712	0.912338643	216	19981	1806	19931
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBTBD	INDEL	All Benchmark Regions	259	2580	0.990133468	0.993924994	0.986371424	3193	522578	6922	501199
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBTBD	INDEL	Difficult-to-Map Regions	46	138	0.934126231	0.97005898	0.900759769	465	15065	1636	14853
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBTBD	INDEL	MHC	8	13	0.952127436	0.985513364	0.921101417	24	1632	126	1558
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBTBD	SNP	All Benchmark Regions	615	3273	0.994394988	0.997179999	0.991625938	9380	3317104	27974	3315515
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBTBD	SNP	Difficult-to-Map Regions	464	1980	0.938359566	0.970277	0.908474882	7274	237451	23911	237391
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBTBD	SNP	MHC	37	119	0.948657866	0.989925873	0.910901179	186	18335	1691	18358
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBTBD	SNVandINDEL	All Benchmark Regions	875	5854	0.993825678	0.996735635	0.990932698	12575	3839685	34897	3816716
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBTBD	SNVandINDEL	Difficult-to-Map Regions	511	2119	0.93810881	0.970264479	0.908016883	7739	252516	25548	252244
GENeTres	ILLUMINA	NA	GENeTres AUTh Illumina BBTBD	SNVandINDEL	MHC	45	133	0.948922382	0.989564332	0.911693306	210	19967	1817	19917
Genetalks	ILLUMINA	NA	Illumina-bwaalt-deepvariant(Genetalks)	INDEL	All Benchmark Regions	323	1227	0.994503	0.996131494	0.992880497	2042	526130	3617	504507
Genetalks	ILLUMINA	NA	Illumina-bwaalt-deepvariant(Genetalks)	INDEL	Difficult-to-Map Regions	53	155	0.932707194	0.965540486	0.902033103	538	15088	1615	14874
